id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,classification_1,classification_2,classification_3
10.2307_973967,0.002048611,0.001662009,0.039486403,0.060906915,0.039806867,0.039755507,7.92E-04,0.001940127,5.83E-04,0.174176523,0.002534736,0.00177849,7.49E-04,0.001829498,0.001211956,4.44E-04,0.001669047,0.020358427,0.001478213,0.039607823,0.205257018,9.80E-04,0.020323135,0.001364579,0.003696089,0.00121133,0.002131482,8.25E-04,0.002831526,0.323273193,0.00239061,7.13E-04,6.02E-04,6.43E-04,9.40E-04,29,20,9
10.2307_973965,0.003131189,0.002540288,0.001636711,0.005018743,0.002126523,0.002048022,0.00121095,0.002965376,8.91E-04,0.00199686,0.003874203,0.061434392,0.00114407,0.002796286,0.031210441,6.78E-04,0.002551045,0.001758694,0.090333469,0.001822295,0.020143641,0.00149763,0.001704751,0.060801752,0.005649268,0.001851451,0.003257852,0.441631165,0.033685865,0.200524829,0.003653916,0.001089223,9.21E-04,9.83E-04,0.001436043,27,29,18
10.2307_973427,0.001440076,0.001168313,7.53E-04,0.002308188,9.78E-04,9.42E-04,5.57E-04,0.001363817,4.10E-04,9.18E-04,0.015283958,0.001250194,0.932175188,0.00128605,8.52E-04,3.12E-04,0.001173261,8.09E-04,0.001039113,8.38E-04,0.009264335,6.89E-04,7.84E-04,9.59E-04,0.002598175,8.52E-04,0.001498331,5.80E-04,0.001990428,0.011211141,0.001680486,5.01E-04,4.23E-04,4.52E-04,6.60E-04,12,10,29
10.2307_973679,0.001544336,0.001252897,8.07E-04,0.002475298,0.001048824,0.058928888,5.97E-04,0.030421946,4.39E-04,0.015464568,0.001910798,0.218536138,0.015043963,0.001379158,0.015393322,3.35E-04,0.001258203,8.67E-04,0.015594039,8.99E-04,0.357447749,7.39E-04,8.41E-04,0.001028681,0.002786279,9.13E-04,0.001606807,6.22E-04,0.002134532,0.214738547,0.00180215,5.37E-04,0.029413517,4.85E-04,7.08E-04,20,11,29
10.2307_973884,0.002130454,0.001728406,0.001113614,0.003414742,0.001446882,0.001393469,8.24E-04,0.002017635,6.06E-04,0.001358659,0.002635999,0.001849541,0.899659745,0.001902587,0.001260374,4.61E-04,0.001735726,0.001196611,0.001537268,0.001239885,0.033680829,0.001018984,0.001159909,0.001419094,0.003843749,0.001259723,0.002216635,8.58E-04,0.002944646,0.0165858,0.002486116,7.41E-04,6.26E-04,6.69E-04,9.77E-04,12,20,29
10.2307_973677,0.001902444,0.001543426,9.94E-04,0.038723927,0.001292031,0.019081657,7.36E-04,0.108825634,5.41E-04,0.00121325,0.002353884,0.001651596,6.95E-04,0.001698965,0.001125483,4.12E-04,0.001549961,0.001068545,0.001372743,0.001107188,0.101425463,9.10E-04,0.001035771,0.001267217,0.003432376,0.001124903,0.001979402,0.250488459,0.002629498,0.282370558,0.002220042,6.62E-04,0.018396753,5.97E-04,0.143571088,29,27,34
10.2307_973871,0.08972165,0.001271305,8.19E-04,0.002511666,0.001064234,0.001024947,6.06E-04,0.001484044,4.46E-04,9.99E-04,0.001938873,0.001360404,5.73E-04,0.001399421,0.1772363,3.39E-04,0.001276689,8.80E-04,0.001130716,9.12E-04,0.010081029,7.49E-04,8.53E-04,0.001043795,0.017519654,9.27E-04,0.001630415,6.31E-04,0.060935643,0.232586017,0.369139564,5.45E-04,4.61E-04,4.92E-04,0.015411115,30,29,14
10.2307_973431,0.00226626,0.001838584,0.001184602,0.003632416,0.065284504,0.001482297,0.085870304,0.00214625,6.45E-04,0.001445268,0.002804032,0.001967441,8.28E-04,0.002023868,0.001340717,4.91E-04,0.00184637,0.00127289,0.065380653,0.001318922,0.078324754,0.00108394,0.043730775,0.022758019,0.025337234,0.001340025,0.002357936,9.12E-04,0.045629281,0.527606196,0.002644594,7.88E-04,6.66E-04,7.12E-04,0.001039365,29,6,20
10.2307_973428,0.001440076,0.001168313,7.53E-04,0.002308188,9.78E-04,9.42E-04,5.57E-04,0.001363817,4.10E-04,9.18E-04,0.001781799,0.001250194,0.945677348,0.00128605,8.52E-04,3.12E-04,0.001173261,8.09E-04,0.001039113,8.38E-04,0.009264335,6.89E-04,7.84E-04,9.59E-04,0.002598175,8.52E-04,0.001498331,5.80E-04,0.001990428,0.011211141,0.001680486,5.01E-04,4.23E-04,4.52E-04,6.60E-04,12,29,20
10.2307_973435,0.002173877,0.062910474,0.001136312,0.003484342,0.001476372,0.001421871,8.41E-04,0.002058759,6.18E-04,0.001386352,0.002689727,0.001887239,0.021176568,0.001941366,0.001286063,4.71E-04,0.022153383,0.001221001,0.001568601,0.062411995,0.156660997,0.001039753,0.001183551,0.001448019,0.003922093,0.001285399,0.002261815,8.75E-04,0.003004665,0.404187165,0.002536789,7.56E-04,6.39E-04,6.83E-04,0.225202069,29,34,20
10.2307_973886,0.001420891,0.001152749,7.43E-04,0.228756199,9.65E-04,9.29E-04,5.50E-04,0.001345648,4.04E-04,9.06E-04,0.001758061,0.067844939,5.19E-04,0.001268917,0.147385678,3.08E-04,0.00115763,7.98E-04,0.00102527,8.27E-04,0.115719154,6.80E-04,7.74E-04,9.46E-04,0.095819522,8.40E-04,0.001478369,5.72E-04,0.001963911,0.264185105,0.054947218,4.94E-04,4.18E-04,4.46E-04,6.52E-04,29,3,14
10.2307_973872,0.0034336,0.00278563,0.001794785,0.230857555,0.002331903,0.066632706,0.001327904,0.003251773,9.77E-04,0.002189718,0.004248375,0.00298086,0.001254564,0.003066353,0.002031313,7.44E-04,0.002797426,0.001928549,0.002477577,0.001998293,0.215249778,0.001642272,0.001869397,0.002287119,0.038388319,0.002030265,0.003572497,0.097962734,0.004745814,0.284278469,0.004006812,0.00119442,0.001009681,0.001078191,0.001574736,29,3,20
10.2307_973367,0.001500871,0.564104589,7.85E-04,0.002405632,0.001019305,9.82E-04,5.80E-04,0.001421392,4.27E-04,9.57E-04,0.00185702,0.001302973,0.127197951,0.001340343,8.88E-04,3.25E-04,0.001222791,8.43E-04,0.001082981,8.73E-04,0.10816066,7.18E-04,8.17E-04,0.029144077,0.044924383,0.029031803,0.001561585,6.04E-04,0.044290979,0.02575661,0.00175143,5.22E-04,4.41E-04,4.71E-04,6.88E-04,1,12,20
10.2307_973430,0.00226626,0.001838584,0.001184602,0.003632416,0.001539114,0.001482297,8.76E-04,0.00214625,6.45E-04,0.001445268,0.002804032,0.001967441,8.28E-04,0.002023868,0.320067671,4.91E-04,0.00184637,0.00127289,0.001635262,0.001318922,0.142070145,0.022332403,0.001233848,0.001509555,0.067834161,0.001340025,0.002357936,0.022160886,0.003132354,0.230127705,0.002644594,7.88E-04,6.66E-04,7.12E-04,0.14977861,14,29,34
10.2307_973854,0.002366844,0.024111722,0.178769464,0.114751312,0.02379896,0.001548085,9.15E-04,0.135390722,6.73E-04,0.001509413,0.002928483,0.002054762,8.65E-04,0.002113694,0.001400222,5.13E-04,0.001928318,0.001329385,0.090473982,0.00137746,0.01522644,0.001132048,0.00128861,0.001576554,0.004270243,0.001399499,0.002462588,0.111910597,0.003271377,0.218149943,0.00276197,8.23E-04,6.96E-04,7.43E-04,0.045468566,29,2,7
10.2307_973364,0.001567026,0.001271305,8.19E-04,0.002511666,0.001064234,0.001024947,6.06E-04,0.001484044,4.46E-04,9.99E-04,0.001938873,0.001360404,5.73E-04,0.001399421,9.27E-04,3.39E-04,0.001276689,8.80E-04,0.941446713,9.12E-04,0.010081029,7.49E-04,8.53E-04,0.001043795,0.002827216,9.27E-04,0.001630415,6.31E-04,0.002165894,0.012199455,0.001828628,5.45E-04,4.61E-04,4.92E-04,7.19E-04,18,29,20
10.2307_974064,0.160438731,0.002273327,0.001464707,0.004491318,0.001903045,0.001832793,0.106174759,0.002653741,7.97E-04,0.001787008,0.003467059,0.054978186,0.001023838,0.002502422,0.133021571,6.07E-04,0.002282953,0.080392172,0.028294694,0.001630788,0.201936094,0.001340243,0.001525597,0.001866497,0.083873881,0.00165688,0.002915481,0.001128169,0.030145781,0.074360392,0.003269922,9.75E-04,8.24E-04,8.80E-04,0.001285127,20,0,14
